I2C Interface
Sample, TimeStamp(ms), Temperature(deg C), Pressure(Pa), Humidity(%), Gas resistance(ohm), Gas Index, Status
81, 1405001854, 25.80, 99593.63, 39.45, 26283.37, 0, 0xb0
82, 1405002058, 25.81, 99596.60, 39.44, 26462.68, 0, 0xb0
83, 1405002262, 25.81, 99596.27, 39.43, 26727.92, 0, 0xb0
84, 1405002465, 25.82, 99597.28, 39.42, 26711.19, 0, 0xb0
85, 1405002669, 25.82, 99595.78, 39.41, 26711.19, 0, 0xb0
86, 1405002872, 25.82, 99594.30, 39.38, 26964.40, 0, 0xb0
87, 1405003076, 25.82, 99594.62, 39.39, 27067.03, 0, 0xb0
88, 1405003280, 25.82, 99592.05, 39.36, 27135.89, 0, 0xb0
89, 1405003483, 25.83, 99594.32, 39.36, 27222.46, 0, 0xb0
90, 1405003687, 25.83, 99595.18, 39.35, 27450.14, 0, 0xb0
91, 1405003891, 25.83, 99596.16, 39.34, 27467.81, 0, 0xb0
92, 1405004094, 25.83, 99594.07, 39.34, 27610.01, 0, 0xb0
93, 1405004298, 25.84, 99595.77, 39.35, 27880.64, 0, 0xb0
94, 1405004501, 25.84, 99595.25, 39.33, 27826.09, 0, 0xb0
95, 1405004705, 25.84, 99596.34, 39.34, 28027.15, 0, 0xb0
96, 1405004909, 25.84, 99594.73, 39.34, 28082.49, 0, 0xb0
97, 1405005112, 25.84, 99594.50, 39.36, 28287.29, 0, 0xb0
98, 1405005316, 25.84, 99594.73, 39.36, 28343.67, 0, 0xb0
99, 1405005520, 25.84, 99594.09, 39.35, 28590.57, 0, 0xb0
100, 1405005723, 25.85, 99594.32, 39.34, 28725.31, 0, 0xb0
101, 1405005927, 25.85, 99595.07, 39.36, 28667.41, 0, 0xb0
102, 1405006130, 25.86, 99593.38, 39.34, 28705.99, 0, 0xb0
103, 1405006334, 25.86, 99593.50, 39.33, 28959.28, 0, 0xb0
104, 1405006538, 25.86, 99593.70, 39.34, 29018.36, 0, 0xb0
105, 1405006741, 25.86, 99591.55, 39.31, 29157.18, 0, 0xb0
106, 1405006945, 25.86, 99592.00, 39.29, 29317.45, 0, 0xb0
107, 1405007149, 25.86, 99590.13, 39.29, 29337.61, 0, 0xb0
108, 1405007352, 25.87, 99593.33, 39.27, 29418.53, 0, 0xb0
109, 1405007556, 25.87, 99592.40, 39.25, 29499.88, 0, 0xb0
110, 1405007759, 25.87, 99593.04, 39.24, 29581.70, 0, 0xb0
111, 1405007963, 25.87, 99594.13, 39.23, 29602.22, 0, 0xb0
112, 1405008167, 25.87, 99589.57, 39.23, 29892.57, 0, 0xb0
113, 1405008370, 25.87, 99590.59, 39.20, 29892.57, 0, 0xb0
114, 1405008574, 25.88, 99591.31, 39.21, 30167.33, 0, 0xb0
115, 1405008778, 25.88, 99590.91, 39.20, 30103.48, 0, 0xb0
116, 1405008981, 25.89, 99593.12, 39.19, 30231.46, 0, 0xb0
117, 1405009185, 25.88, 99592.28, 39.18, 30360.53, 0, 0xb0
118, 1405009388, 25.89, 99591.07, 39.19, 30425.48, 0, 0xb0
119, 1405009592, 25.89, 99592.16, 39.18, 30512.52, 0, 0xb0
120, 1405009796, 25.89, 99592.20, 39.17, 30512.52, 0, 0xb0
121, 1405009999, 25.89, 99592.58, 39.16, 30644.00, 0, 0xb0
122, 1405010203, 25.90, 99591.55, 39.15, 30776.63, 0, 0xb0
123, 1405010407, 25.90, 99592.45, 39.15, 30843.37, 0, 0xb0
124, 1405010610, 25.90, 99593.95, 39.13, 30977.73, 0, 0xb0
125, 1405010814, 25.91, 99593.09, 39.13, 30977.73, 0, 0xb0
126, 1405011017, 25.91, 99592.55, 39.13, 31113.27, 0, 0xb0
127, 1405011221, 25.91, 99593.85, 39.12, 31272.90, 0, 0xb0
128, 1405011425, 25.91, 99594.43, 39.11, 31295.84, 0, 0xb0
129, 1405011628, 25.92, 99594.25, 39.10, 31364.86, 0, 0xb0
130, 1405011832, 25.92, 99595.20, 39.09, 31387.94, 0, 0xb0
131, 1405012036, 25.92, 99592.53, 39.09, 31597.14, 0, 0xb0
132, 1405012239, 25.92, 99592.10, 39.07, 31667.49, 0, 0xb0
133, 1405012443, 25.91, 99589.86, 39.06, 31691.01, 0, 0xb0
134, 1405012647, 25.92, 99591.66, 39.04, 31785.45, 0, 0xb0
135, 1405012850, 25.92, 99591.66, 39.03, 32000.00, 0, 0xb0
136, 1405013054, 25.92, 99593.05, 39.03, 31952.07, 0, 0xb0
137, 1405013257, 25.92, 99590.55, 39.03, 32024.02, 0, 0xb0
138, 1405013461, 25.92, 99591.34, 39.01, 31952.07, 0, 0xb0
139, 1405013665, 25.92, 99591.98, 39.00, 32144.65, 0, 0xb0
140, 1405013868, 25.93, 99590.78, 38.99, 32315.07, 0, 0xb0
141, 1405014072, 25.93, 99593.04, 38.99, 32364.10, 0, 0xb0
142, 1405014276, 25.93, 99591.48, 38.96, 32437.91, 0, 0xb0
143, 1405014479, 25.93, 99592.17, 38.97, 32536.86, 0, 0xb0
144, 1405014683, 25.93, 99590.91, 38.96, 32536.86, 0, 0xb0
145, 1405014887, 25.94, 99594.62, 38.96, 32686.41, 0, 0xb0
146, 1405015090, 25.94, 99592.34, 38.93, 32786.89, 0, 0xb0
147, 1405015294, 25.94, 99591.89, 38.93, 32786.89, 0, 0xb0
148, 1405015497, 25.94, 99590.52, 38.92, 32913.34, 0, 0xb0
149, 1405015701, 25.95, 99593.18, 38.92, 32964.20, 0, 0xb0
150, 1405015905, 25.95, 99591.96, 38.93, 33066.39, 0, 0xb0
151, 1405016108, 25.95, 99594.18, 38.90, 33092.04, 0, 0xb0
152, 1405016312, 25.95, 99591.48, 38.89, 33143.45, 0, 0xb0
153, 1405016516, 25.96, 99591.15, 38.90, 33350.70, 0, 0xb0
154, 1405016719, 25.96, 99594.45, 38.90, 33350.70, 0, 0xb0
155, 1405016923, 25.96, 99594.48, 38.90, 33376.79, 0, 0xb0
156, 1405017126, 25.97, 99593.14, 38.88, 33376.79, 0, 0xb0
157, 1405017330, 25.97, 99593.71, 38.89, 33586.98, 0, 0xb0
